,latitud,longitud,state
5,42.531718,-96.496361,SD
6,42.894371,-97.400963,SD
7,42.53184,-96.49657,SD
0,36.220148,-86.325987,TN
0,32.161975,-94.794302,TX
1,29.948421,-93.982352,TX
0,41.221257,-111.974138,UT
1,41.217352,-111.970934,UT
0,46.140708,-122.918573,WA
0,42.599893,-89.638779,WI
1,44.73389,-90.49562,WI
2,44.680234,-90.161781,WI
3,44.676607,-90.166635,WI
4,44.66207,-90.17793,WI
5,44.655907,-90.180748,WI
0,44.79894,-106.95624,WY
