,latitud,longitud,state
4,34.21519,-77.900004,NC
5,34.201798,-77.921143,NC
6,34.244839,-77.866155,NC
7,34.197656,-77.895372,NC
8,34.221433,-77.926702,NC
9,34.195825,-77.903866,NC
10,34.29845,-77.975418,NC
11,35.543772,-82.683079,NC
12,35.742153,-78.778683,NC
13,35.742149,-78.778677,NC
14,35.832886,-78.819833,NC
0,48.23713,-101.28957,ND
0,42.462818,-96.415949,NE
0,43.22519,-71.34617,NH
0,40.268043,-74.712234,NJ
1,40.508688,-74.269173,NJ
2,40.96913,-74.296324,NJ
3,40.854018,-74.03464,NJ
4,40.478261,-74.498247,NJ
5,40.508688,-74.269173,NJ
6,40.29976,-74.30349,NJ
7,39.824392,-75.151438,NJ
8,40.29976,-74.30349,NJ
9,40.202466,-74.172171,NJ
10,41.02932,-74.297177,NJ
11,40.879923,-74.118442,NJ
12,40.509933,-74.410484,NJ
13,40.845745,-74.153457,NJ
14,40.452085,-74.2409,NJ
15,40.89348,-74.47638,NJ
16,40.969478,-74.294227,NJ
17,40.541782,-74.276298,NJ
18,40.867851,-74.414865,NJ
19,40.736982,-74.030754,NJ
0,36.754146,-108.170393,NM
1,36.7245,-108.16071,NM
2,36.73414,-108.16034,NM
3,36.73421,-108.15984,NM
4,36.771592,-108.185596,NM
5,36.771592,-108.185596,NM
6,36.756412,-108.194367,NM
7,36.73201,-108.19444,NM
8,36.71921,-108.17498,NM
0,36.03625,-115.2783,NV
1,36.220004,-115.297646,NV
2,36.01211,-114.98734,NV
3,40.957256,-117.742372,NV
0,40.760208,-73.733899,NY
1,40.735863,-73.815763,NY
2,40.79829,-73.94042,NY
3,40.90978,-73.83689,NY
4,40.607175,-73.960565,NY
5,40.66541,-73.66054,NY
6,40.908608,-73.797618,NY
7,40.62671,-73.94094,NY
8,41.70335,-73.92729,NY
9,42.098622,-75.918081,NY
10,43.45131,-76.50797,NY
11,40.76213,-73.340609,NY
12,40.623146,-74.035309,NY
13,42.832648,-78.806255,NY
14,42.901377,-78.694295,NY
15,41.02941,-73.737995,NY
16,40.611693,-73.944344,NY
17,40.756781,-73.826428,NY
18,40.60723,-74.1638,NY
19,40.756781,-73.826428,NY
0,38.427461,-82.457939,OH
1,40.011482,-81.634975,OH
2,38.49151,-82.38631,OH
3,40.041484,-81.569943,OH
4,40.893967,-80.694508,OH
5,41.214543,-80.766268,OH
0,40.09631,-74.86025,PA
1,40.573339,-75.544891,PA
2,41.07788,-75.029822,PA
3,41.07788,-75.029822,PA
4,39.964458,-75.170575,PA
5,41.07788,-75.029822,PA
6,40.1434,-74.888239,PA
7,40.336271,-75.952796,PA
8,40.218981,-74.882118,PA
9,40.60632,-75.48649,PA
10,40.60632,-75.48649,PA
11,41.001926,-76.444655,PA
12,40.161,-79.545378,PA
13,41.07788,-75.029822,PA
14,40.355489,-79.651434,PA
15,40.60632,-75.48649,PA
16,40.695007,-75.624222,PA
17,40.355489,-79.651434,PA
18,40.326374,-79.651448,PA
19,40.60632,-75.48649,PA
0,44.310418,-96.765769,SD
1,44.490062,-103.860181,SD
2,44.490062,-103.860181,SD
3,44.481272,-103.814826,SD
4,42.529437,-96.497451,SD
5,42.504849,-96.499216,SD
6,42.531718,-96.496361,SD
7,42.894371,-97.400963,SD
8,42.53184,-96.49657,SD
9,42.527785,-96.500168,SD
0,36.220148,-86.325987,TN
0,29.821311,-95.498681,TX
1,33.15741,-95.597331,TX
2,33.949081,-98.528725,TX
3,32.161975,-94.794302,TX
4,33.949081,-98.528725,TX
5,33.94909,-98.528889,TX
6,32.550542,-95.421971,TX
7,29.554192,-98.312755,TX
8,29.948421,-93.982352,TX
9,30.110175,-94.116079,TX
10,32.852292,-97.239048,TX
11,32.852292,-97.239048,TX
12,32.852292,-97.239048,TX
0,41.221257,-111.974138,UT
1,41.217352,-111.970934,UT
0,39.04564,-77.48743,VA
1,38.852245,-77.323466,VA
0,44.943494,-72.20312,VT
1,44.951381,-72.162933,VT
0,46.140708,-122.918573,WA
0,42.599893,-89.638779,WI
1,44.73389,-90.49562,WI
2,44.66524,-90.16588,WI
3,43.74775,-87.70793,WI
4,44.680234,-90.161781,WI
5,44.676607,-90.166635,WI
6,44.66207,-90.17793,WI
7,44.655907,-90.180748,WI
0,38.413489,-82.462014,WV
1,38.44849,-81.94431,WV
2,38.44849,-81.94431,WV
3,38.420272,-82.443447,WV
4,38.450844,-81.92995,WV
5,38.420161,-82.443538,WV
6,38.415011,-82.296659,WV
0,44.79894,-106.95624,WY
1,41.12601,-104.757948,WY
